"bin","all","musician","singer","actor","athlete","politician","showbiz","author","scientist","cleric","military","resistance","journalist","artist","other"
5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,31
10,39,0,0,0,0,0,0,0,0,1,0,0,0,0,38
15,81,2,0,6,0,0,1,2,0,2,1,1,0,0,68
20,376,11,6,24,26,1,6,16,0,1,17,25,0,8,245
25,1359,59,13,73,174,6,21,98,39,10,84,105,6,45,692
30,2372,125,63,99,255,40,26,220,149,21,146,145,24,131,1052
35,3233,211,96,147,243,175,49,330,339,25,177,195,57,210,1215
40,4454,322,116,204,230,446,90,500,555,64,247,241,66,302,1448
45,5843,409,164,259,232,794,174,637,846,108,356,234,137,394,1703
50,8204,523,214,365,261,1422,257,899,1301,171,518,207,146,568,2200
55,11809,751,242,576,370,2352,378,1287,1962,296,744,197,227,811,2917
60,16930,1137,319,706,484,3575,503,1780,2950,500,990,177,319,1162,4052
65,22778,1442,406,965,608,5121,712,2175,4092,699,1302,166,421,1564,5407
70,28896,1781,494,1224,745,6596,921,2796,5468,956,1656,182,514,1878,6707
75,34174,1933,525,1552,962,7821,1065,3218,6586,1259,1945,196,622,2277,7733
80,35696,1960,537,1465,1018,7958,1115,3380,7234,1340,1956,207,610,2482,8020
85,33214,1793,503,1506,1048,6947,1147,3205,6923,1272,1648,227,595,2303,7505
90,24583,1277,362,1244,683,4882,970,2481,5267,984,1163,187,457,1728,5519
95,13338,744,225,728,379,2394,499,1318,2999,530,566,140,298,888,3025
100,4386,252,68,228,107,683,171,484,995,185,184,52,81,329,1050
105,1000,61,26,58,24,95,42,104,243,33,32,17,14,61,291
110,119,4,5,10,1,3,6,16,23,5,3,10,0,8,39
115,25,1,0,0,1,0,0,1,5,0,1,0,0,1,15
120,7,0,0,0,0,0,0,0,0,0,1,0,0,0,6
125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
